,normal,uniform,binomial
2024-01-01,0.4967141530112327,0.16748258225906976,0
2024-01-02,-0.13826430117118466,0.10456784033440025,0
2024-01-03,0.6476885381006925,0.6364302495436367,0
2024-01-04,1.5230298564080254,0.7064757264869012,0
2024-01-05,-0.23415337472333597,0.03158614482564204,1
2024-01-06,-0.23413695694918055,0.9362122462436898,0
2024-01-07,1.5792128155073915,0.05197128365147241,0
2024-01-08,0.7674347291529088,0.5412963353010705,0
2024-01-09,-0.4694743859349521,0.7090605194509164,1
2024-01-10,0.5425600435859647,0.8709691237460856,0
2024-01-11,-0.46341769281246226,0.7140869321324278,0
2024-01-12,-0.46572975357025687,0.8017280830697918,0
2024-01-13,0.24196227156603412,0.33945019254280606,0
2024-01-14,-1.913280244657798,0.8148251137465122,0
2024-01-15,-1.7249178325130328,0.08011484638467514,0
2024-01-16,-0.5622875292409727,0.8948166560605276,1
2024-01-17,-1.0128311203344238,0.5475923761537362,0
2024-01-18,0.3142473325952739,0.8172977699624937,0
2024-01-19,-0.9080240755212109,0.45231828451830014,1
2024-01-20,-1.4123037013352915,0.643577695196525,0
2024-01-21,1.465648768921554,0.5264026609361132,0
2024-01-22,-0.22577630048653566,0.7315895217553319,0
2024-01-23,0.06752820468792384,0.08162998203058958,0
2024-01-24,-1.4247481862134568,0.0603520839905638,0
2024-01-25,-0.5443827245251827,0.24710323401014644,1
2024-01-26,0.11092258970986608,0.15954468011318834,0
2024-01-27,-1.1509935774223028,0.8717835665922017,0
2024-01-28,0.37569801834567196,0.21921398735804432,0
2024-01-29,-0.600638689918805,0.9758652558191313,1
2024-01-30,-0.2916937497932768,0.33689579177110685,1
2024-01-31,-0.6017066122293969,0.18211791568869928,1
2024-02-01,1.8522781845089378,0.7896985071424791,0
2024-02-02,-0.013497224737933921,0.6587077755008761,0
2024-02-03,-1.0577109289559004,0.498195716453139,0
2024-02-04,0.822544912103189,0.5553635509376312,0
2024-02-05,-1.2208436499710222,0.7192017782722638,0
2024-02-06,0.2088635950047554,0.22845474133129873,0
2024-02-07,-1.9596701238797756,0.9963339160567419,0
2024-02-08,-1.3281860488984305,0.9747931621467831,0
2024-02-09,0.19686123586912352,0.6503256863469369,0
2024-02-10,0.7384665799954104,0.19954245092914513,0
2024-02-11,0.1713682811899705,0.6802282424312913,0
2024-02-12,-0.11564828238824053,0.07219840897917584,0
2024-02-13,-0.3011036955892888,0.030652502205806065,0
2024-02-14,-1.4785219903674274,0.2576828885112137,0
2024-02-15,-0.7198442083947086,0.4626229567393163,0
2024-02-16,-0.4606387709597875,0.8682725054083805,0
2024-02-17,1.0571222262189157,0.727169069766308,0
2024-02-18,0.3436182895684614,0.742706521199981,1
2024-02-19,-1.763040155362734,0.42549333444807536,0
2024-02-20,0.324083969394795,0.3459349925469629,0
2024-02-21,-0.38508228041631654,0.3710387629846027,0
2024-02-22,-0.6769220003059587,0.9876495637360578,0
2024-02-23,0.6116762888408679,0.04010919141248248,0
2024-02-24,1.030999522495951,0.8670314961224486,0
2024-02-25,0.9312801191161986,0.5786754085723934,1
2024-02-26,-0.8392175232226385,0.43861541918959046,0
2024-02-27,-0.3092123758512146,0.7252576604151365,1
2024-02-28,0.33126343140356396,0.48666894142470285,0
2024-02-29,0.9755451271223592,0.8734232380816606,0
2024-03-01,-0.47917423784528995,0.9007018640112585,1
2024-03-02,-0.18565897666381712,0.4217209268734554,0
2024-03-03,-1.1063349740060282,0.2768277972350516,0
2024-03-04,-1.1962066240806708,0.5923503285933622,0
2024-03-05,0.812525822394198,0.912363345616691,0
2024-03-06,1.356240028570823,0.21066218900566658,0
2024-03-07,-0.07201012158033385,0.6229665835634828,0
2024-03-08,1.0035328978920242,0.6315602200925206,0
2024-03-09,0.36163602504763415,0.733113022415281,0
2024-03-10,-0.6451197546051243,0.1315676851272598,0
2024-03-11,0.36139560550841393,0.7158249646820886,0
2024-03-12,1.5380365664659692,0.909032520665641,0
2024-03-13,-0.03582603910995154,0.17968310887024197,0
2024-03-14,1.5646436558140062,0.23754332492387764,0
2024-03-15,-2.6197451040897444,0.9713950940416396,0
2024-03-16,0.8219025043752238,0.18097695270948977,1
2024-03-17,0.08704706823817122,0.8543850933695791,0
2024-03-18,-0.29900735046586746,0.4922778564480348,0
2024-03-19,0.0917607765355023,0.24723107440317704,0
2024-03-20,-1.9875689146008928,0.8707499012725114,0
2024-03-21,-0.21967188783751193,0.4453052550026655,0
2024-03-22,0.3571125715117464,0.5148173539296902,0
2024-03-23,1.477894044741516,0.3592333693997657,0
2024-03-24,-0.5182702182736474,0.5929508514349274,0
2024-03-25,-0.8084936028931876,0.16352387258502277,1
2024-03-26,-0.5017570435845365,0.3910815366517607,1
2024-03-27,0.9154021177020741,0.9694123223352875,1
2024-03-28,0.32875110965968446,0.25813343270112754,0
2024-03-29,-0.5297602037670388,0.6567366645412922,0
2024-03-30,0.5132674331133561,0.3251900642246949,0
2024-03-31,0.09707754934804039,0.7734731256866006,0
2024-04-01,0.9686449905328892,0.13087366071834983,0
2024-04-02,-0.7020530938773524,0.9698210450785447,0
2024-04-03,-0.3276621465977682,0.45378954138363925,0
2024-04-04,-0.39210815313215763,0.23605046334646396,0
2024-04-05,-1.4635149481321186,0.07349674733001266,0
2024-04-06,0.29612027706457605,0.16975790508754074,0
2024-04-07,0.26105527217988933,0.5197739485560177,0
2024-04-08,0.00511345664246089,0.3370031764312863,1
2024-04-09,-0.23458713337514692,0.8288833658826095,0
2024-04-10,-1.4153707420504142,0.43088752366180594,0
2024-04-11,-0.42064532276535904,0.2487142725876299,0
2024-04-12,-0.3427145165267695,0.61714498660403,0
2024-04-13,-0.8022772692216189,0.7067772168854458,0
2024-04-14,-0.16128571166600914,0.16704190790094986,0
2024-04-15,0.4040508568145384,0.16761921628831766,0
2024-04-16,1.8861859012105302,0.03667142693354297,0
